Run	Platform	BioProject	Title_
DRR042270	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042293	ION_TORRENT	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042356	ILLUMINA	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042357	ILLUMINA	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042362	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042416	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042417	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042422	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042423	ION_TORRENT	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042427	ION_TORRENT	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042435	ION_TORRENT	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042450	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042451	ION_TORRENT	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042460	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042528	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042529	ION_TORRENT	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR042597	LS454	PRJDB3601	Metagenomics_of_Japanese_gut_microbiomes
DRR002659	LS454	PRJDB2181	Metagenomic_analysis_of_human_gut_microbiome_in_patients_with_multiple_sclerosis
